document,0,1,2,3
525,0.08519822,0.12749015,0.46779445,0.3195172
526,0.3400027,0.13872895,0.33644357,0.18482482
527,0.071449116,0.15223767,0.23407021,0.54224306
528,0.024662146,0.50758344,0.4676733,
529,,0.1765704,0.8233237,
530,,0.3112994,0.68848175,
531,0.053486608,0.079986654,0.45236138,0.41416538
532,,0.39013007,0.39876726,0.21102336
533,0.0115984315,0.19052228,0.5410874,0.25679192
534,0.013302768,0.20669985,0.3254766,0.45452082
535,,0.49245754,,0.5074988
536,0.2747718,0.3099233,0.2405221,0.1747828
537,0.02781855,0.4826275,0.42873603,0.06081788
538,0.9999551,,,
539,0.8935063,0.10644839,,
540,0.15198424,0.19642577,0.38618463,0.2654054
541,0.10559736,,0.36359447,0.53063077
542,0.10224367,,0.4389841,0.45747402
543,0.029143604,0.5742105,0.39663014,
544,0.1370714,0.09360475,0.32638642,0.44293743
545,0.14384195,0.17147382,0.4986858,0.18599844
546,,0.34915018,0.6422589,
547,0.056522597,0.31251758,0.62923586,
548,0.17077546,,0.3017385,0.5273099
549,0.22026104,0.316022,0.25354412,0.21017286
550,0.81236964,0.12572992,0.061266948,
551,0.018274792,0.109047875,0.52658474,0.34609264
552,,0.14798665,0.4355771,0.4162422
553,0.16122156,,0.19886352,0.6397439
554,0.24683037,0.2596335,0.36093464,0.13260147
555,,0.37883794,0.6136856,
556,,0.31474265,0.6388013,0.046404097
557,0.02080042,0.4447739,0.53439647,
558,,0.16768344,0.709211,0.12307369
559,0.19949785,0.28971308,0.5107109,
560,0.22151883,0.37580928,0.40263423,
561,,0.25379798,0.6510522,0.087442786
562,0.06277555,0.4050686,0.5320794,
563,0.037328556,0.34178934,0.5821537,0.038728412
564,0.06843827,0.2830319,0.63226634,0.016263496
565,0.05976551,0.22873498,0.70384914,
566,0.020803286,0.5191528,0.46001163,
567,0.06802698,0.33467954,0.5418565,0.05543694
568,0.07262323,0.3233314,0.60400033,
569,0.03486932,0.088718295,0.45651162,0.41990072
570,0.03754414,0.036355246,0.52238727,0.40371338
571,0.029520767,0.047657423,0.4067916,0.5160302
572,,0.34015176,0.6597396,
573,0.99997526,,,
574,0.33199722,0.19396356,0.2959686,0.17807063
575,,0.23682384,0.35222492,0.41073957
576,0.025261184,0.43986538,0.5302016,
577,0.079285264,0.56447464,0.356203,
578,,0.27530795,0.72463065,
579,0.012176871,0.5616315,0.42615697,
580,0.6661845,0.014400179,,0.31941053
581,0.24326345,,0.28814104,0.4599302
582,,0.3302259,0.6696906,
583,0.088310495,0.037253454,0.44492808,0.42950797
584,0.27326116,0.06013251,0.33202404,0.33458227
585,,0.5443789,0.45557362,
586,0.06144618,0.07919386,0.504844,0.35451594
587,,0.09165407,0.37774935,0.5304185
588,0.20648366,0.06206861,0.32056686,0.41088086
589,0.16774067,0.08253146,0.29835123,0.45137665
590,0.03251045,0.19441226,0.6146459,0.15843137
591,0.072426304,0.05774387,0.65284604,0.2169838
592,0.3835142,0.09016266,0.18284519,0.343478
593,,0.11366164,0.4046369,0.48146692
594,0.30774,0.13161705,0.31527013,0.24537283
595,0.13409531,,0.5104921,0.35529116
596,0.0667354,0.37784028,0.46323162,0.09219271
597,0.8793267,0.12065389,,
598,,0.4226632,0.5771905,
599,,0.522786,0.47710812,
600,,0.2915082,0.05312535,0.65535265
601,0.11891462,0.35778895,0.52322006,
602,0.09968937,0.12657958,0.4088901,0.36484092
603,0.07416324,0.35678118,0.5689461,
604,0.04572792,0.1451831,0.25608122,0.5530078
605,0.06933907,0.6239247,0.30670944,
606,0.11104205,0.034258492,0.276478,0.5782215
607,0.1445417,0.37473792,0.24518399,0.23553637
608,0.041304015,0.1976012,0.6097002,0.15139452
609,,0.27118573,0.47108355,0.25765383
610,,0.3306481,0.6692786,
611,0.3825133,0.40880796,0.2086359,
612,0.11122514,0.40255266,0.30025747,0.18596476
613,0.19314657,0.28854036,0.29199624,0.22631684
614,0.013320804,0.3419468,0.5051167,0.1396157
615,,0.4096828,0.47426793,0.11088426
616,0.51152545,0.19527225,0.15741763,0.13578467
617,0.041291714,0.5537021,0.40496138,
618,0.15617375,,0.4870279,0.35672683
619,0.30436897,0.24809171,0.35789686,0.08964245
620,0.11780492,,0.35774034,0.5242859
621,0.32511005,0.39926344,0.21339425,0.062232263
622,0.25842023,0.21741983,0.4060152,0.11814472
623,0.018775292,,0.34824356,0.63270307
624,,0.28327578,0.69911635,0.017562538
625,0.10206183,0.45157817,0.4463231,
626,0.31579068,,0.2252062,0.45530048
627,0.22538036,,0.23766603,0.5367886
628,0.017674819,0.30421,0.33635116,0.34176397
629,0.1354114,0.015385887,0.63525814,0.21394463
630,0.013141675,0.49723178,0.48959816,
631,0.37942994,0.20780471,0.28558457,0.12718073
632,,0.4521595,0.538672,
633,0.11319717,0.10030091,0.46433306,0.32216883
634,0.19995981,0.027757784,0.43075025,0.3415322
635,0.20397584,0.07060293,0.45795912,0.2674621
636,0.7344533,0.18301201,0.08249156,
637,,,0.59731954,0.40230805
638,0.19035213,0.25436237,0.3657247,0.18956074
639,,0.2549882,0.4178174,0.3242331
640,0.113308586,0.4886382,0.38929614,
641,0.029285386,0.27887678,0.69178945,
642,0.11736557,0.68772274,0.19489238,
643,,0.1931243,0.72456324,0.082099915
644,,0.43002012,0.5699338,
645,0.395063,0.25643533,0.20823157,0.14027007
646,0.9999016,,,
647,0.7393674,0.04184577,0.07008997,0.14869687
648,0.074592695,0.32660094,0.5987329,
649,0.020731414,0.62695414,0.3522594,
650,0.1548741,,0.35597733,0.4889585
651,0.05737039,0.036565512,0.45218715,0.45387697
652,0.3985414,0.42869815,0.10066756,0.07209286
653,0.01868809,0.05866513,0.42762628,0.4950205
