document,0,1,2,3,4,5,6,7,8,9,10,11
147,0.15488477,0.16788857,,0.014164632,0.16730843,0.050415825,,0.0106960945,,0.35349652,,0.08083302
148,0.23700394,0.19590545,0.011154839,,0.2047674,0.043231685,,,0.015431863,0.023139752,,0.25263238
149,0.36342797,0.14075486,0.084833935,,,,0.018059673,,0.020182952,0.26133958,,0.107063465
150,0.16131476,0.27404773,0.035581212,0.011564157,0.1662273,0.053503364,0.025433965,0.043794215,,0.071832,,0.14886843
151,0.11736649,0.2278971,0.17328946,,0.08886363,0.04695437,0.08515901,0.031283963,0.015539619,0.050502453,0.0212307,0.14185034
152,0.25986612,0.028440082,0.23857619,,0.12760766,,0.140912,0.028299736,,0.10633084,,0.06144802
153,0.2962368,0.15302283,,,0.17062084,,,,0.012375279,0.048795033,0.012277454,0.29825112
154,0.21481791,0.20884216,,,0.14079304,0.012994283,,,,0.13420354,,0.2660245
155,0.18459591,0.25420368,0.17311777,,0.041396342,0.029681461,0.015951939,0.07411516,0.048534688,,0.015371192,0.16280214
156,,0.2983905,0.09008709,0.05095128,0.30381083,0.019642394,,0.022405807,,0.21338476,,
157,0.14479508,0.14212845,0.038258046,0.015099031,0.3943425,0.039199866,,0.020104527,,0.20585915,,
158,0.07758,0.097814165,0.06291168,,0.22830686,,0.015624703,0.07593946,0.040413026,0.38840503,,
159,0.13196652,0.21263444,0.036688503,,0.5619965,,,0.021193236,,0.02077271,,
160,0.14025833,0.07462548,0.015282115,0.019935498,0.64964795,0.024665078,,,,0.07123679,,
161,,,0.95692664,,,0.031113805,,,,,0.011045582,
162,0.19747461,0.07781752,0.08624441,,0.31996408,0.044316877,,0.031066883,0.01045751,0.2174464,0.014980528,
163,,0.23529302,0.032672588,0.03807218,0.06741944,0.12891752,0.05045346,0.1265807,,0.3197885,,
164,,0.051206972,0.13610944,,0.63072723,0.102195315,0.07839592,,,,,
165,0.011650215,0.2661468,,,0.156337,0.069667414,0.05191973,0.085429944,0.028763983,0.29359633,,0.03607449
166,0.071010694,0.26270756,0.078333184,,0.26817697,0.07691937,,,,0.064364225,,0.1698398
167,0.06572569,0.23727046,0.09244203,,0.051065564,,0.088710114,0.05747584,0.023898946,0.11369783,,0.26948082
168,0.1455245,0.2896955,0.09468836,,0.15167542,,0.053120296,,,,,0.25101396
169,0.18206891,0.03609562,0.02868398,,0.2897159,,0.04989296,0.02222079,0.041154627,0.19290242,,0.1454558
170,0.21277994,0.26958072,0.030438878,,0.2561032,,,0.032871336,,0.04470552,,0.14918357
171,0.19399054,0.21566865,0.18836814,,,0.076573655,0.020415502,,,0.05253823,,0.2379704
172,0.20711523,0.087343715,0.2079971,,0.08207474,,0.22249895,0.112551436,,0.05478913,0.02425245,
173,0.2706026,0.11751426,0.19978595,,,,0.12323013,0.10326185,,,,0.17246397
174,,0.30961695,0.1459915,0.014269415,,0.10923172,0.013062318,,,0.20315377,,0.20412327
175,0.23094572,0.24205536,0.05753092,,0.016461898,0.04409983,0.1310387,,,0.10901392,0.010365389,0.15832861
176,0.029727044,0.2837862,,,,,0.07007787,0.0709381,0.012278253,0.27482486,,0.25789362
177,0.046824325,0.350552,0.13330077,,0.20721203,0.04798491,0.040681247,0.045049082,,,0.025132488,0.102971844
178,,0.21982203,0.024322696,,0.042612743,0.082753606,0.018123742,0.07743421,0.029195348,0.48375982,0.013075541,
179,0.24325557,0.047968883,0.08692981,,0.16273928,,0.05800989,0.035374057,,0.029429743,0.01646631,0.31396723
