document,0,1,2,3,4,5,6,7,8
30,0.12210971,0.010242195,,0.017539198,0.03428735,0.14107099,0.58746064,0.054838147,0.02649812
31,,,0.0255573,0.020283416,0.025043515,0.105893,0.6085631,0.092386484,0.107350014
32,0.06863507,0.011429561,0.047206055,,0.12819533,0.06043242,0.41026017,0.0754521,0.19056821
33,0.05789035,,,0.022990156,0.016881343,0.18809496,0.6117875,0.040474042,0.04332403
34,0.04175157,0.03640508,0.036851224,0.04415417,0.017777981,0.090848,0.60533273,0.07085893,0.056020275
35,0.03974946,0.022321343,0.01778177,0.033501424,0.022091657,0.094084546,0.56647044,0.12365394,0.08034541
36,0.11994869,0.013254451,0.011621889,0.02288081,0.09133718,0.07056132,0.61048895,0.021560092,0.038346678
37,,0.10146548,,0.3678333,,0.47879934,0.012825208,,
38,0.54543716,0.019729318,0.016534502,0.10422226,0.013827504,0.25911546,,0.011312069,0.022163987
39,0.010247719,0.040628526,,0.31587207,,0.57226133,0.016001461,0.010591237,0.01881626
40,0.47004035,0.034534745,0.029053234,0.12745593,0.014601523,0.28822315,,,0.018469669
41,0.026809478,,,0.010974593,0.04163575,0.11498081,0.70980674,0.056824856,0.023191074
42,0.021846287,0.016308548,0.011625059,0.036394477,0.015967675,0.14393184,0.6378867,0.06496634,0.051073063
43,0.0476655,0.013249815,0.011171887,0.04181331,0.040675122,0.13972403,0.5192711,0.12104416,0.065385096
44,0.051026713,0.05034501,0.013083249,0.01982539,0.016331663,0.08352947,0.53639233,0.15509559,0.07437059
45,,0.012072523,0.015618147,0.029885335,0.037402075,0.07282664,0.7504072,0.06544126,0.010940903
46,0.22814889,0.039006874,0.014283982,0.048805352,0.019689519,0.17507823,0.012313257,0.37549868,0.08717517
47,0.05296435,0.020011801,0.018196734,0.18324393,0.023344606,0.28237152,0.033273615,0.3107852,0.07580829
48,0.014265646,0.05578984,0.11743432,0.04041954,0.2663734,0.10076743,0.021035973,0.04175781,0.34215608
49,0.031153724,0.07272991,0.024947206,0.040622693,0.059387498,0.62452143,0.056055404,0.052816212,0.037765887
50,0.8562983,,,0.04796924,,0.06669443,,,
51,0.015370695,0.013411537,0.09246785,0.019990329,0.0400221,0.2188674,0.028307412,0.26599476,0.30556792
52,0.4647889,0.16221096,0.0102407085,0.038525503,0.010111618,0.25149378,0.010485993,0.010075905,0.042066667
53,0.22507526,0.028226785,0.049838684,0.010828247,0.06854322,0.1829044,0.06897884,0.31233445,0.053270157
54,0.058981966,0.16825816,0.027106872,0.04208311,0.1815284,0.15869358,0.03978832,0.26575118,0.057808433
55,0.33987948,0.020622538,0.012324398,0.033482753,0.08942462,0.2573326,0.015290314,0.10814224,0.12350106
56,0.08412879,0.03245467,0.039687097,0.066829115,0.10039014,0.43402165,0.10580898,0.09817724,0.038502354
57,0.15328914,0.04288563,0.015571755,0.048044093,0.041473716,0.31603304,0.028925879,0.11550191,0.2382748
58,0.21260425,0.03518099,0.032792103,0.024412705,0.02152196,0.16412237,0.0785649,0.37349534,0.05730537
59,0.08185719,0.050098445,0.019300248,0.026477862,0.112106286,0.3274375,0.023033688,0.15588735,0.20380138
60,0.018900795,0.011797685,0.017232511,0.022111937,0.025554545,0.41800407,0.034475885,0.213756,0.23816654
61,0.02420847,,0.11486932,0.050979853,0.33567175,0.0345003,0.016021186,0.033882417,0.38300338
62,0.19233672,0.10844263,0.054212414,0.057145923,0.058467954,0.26812863,0.041475132,0.14762843,0.07216216
63,0.036359567,0.056227233,0.025412643,0.047366973,0.039869152,0.6391906,0.014916541,0.032977495,0.10767983
64,0.026569974,0.09060435,0.07703093,0.06337725,0.08179119,0.26366016,0.015250597,0.19164783,0.19006772
