document,0,1,2,3,4,5,6,7,8,9,10,11
114,0.14956252,0.036237676,,,0.16854785,,0.23351228,0.124508224,0.06935234,,0.20365392,
115,,0.038161207,,,0.6714481,,0.13373473,0.024921585,0.117500395,,,
116,,0.08288071,,0.04078699,0.52058005,,0.24716477,,,,,0.08787117
117,,0.10929685,,0.22568414,0.3109706,0.14234388,,,0.19995612,,,
118,,0.05434555,,,0.7911838,,,,0.13105534,,,
119,0.081688225,,,0.13389252,0.70007336,,,,,,0.062978044,
120,0.0704399,0.07546951,,,0.53001106,,,0.2239089,0.048929546,,,0.03989749
121,0.16506243,,,0.03108124,0.51069134,,,,,0.22040753,0.05856166,
122,0.52999353,,,,0.4474006,,,0.015496025,,,,
123,,,,,0.6800265,,0.16721547,,,0.022844635,,0.109270886
124,0.06603331,,,0.09966462,0.48774117,,0.1829786,,0.049944766,,0.10111479,
125,,0.06012371,,0.21664283,0.17585939,,0.15885012,0.066653825,0.19187388,0.06541975,,0.06085003
126,,,,0.025154222,0.4321441,,,0.12477655,0.030737875,0.23718867,0.1399586,
127,0.06542871,,,,0.3409256,,0.17022637,0.11794345,0.2941454,,,
128,,0.12392571,,,0.4046662,,0.39913258,,0.052847873,,,
129,0.11553961,0.1311405,,,0.45463333,,0.12657316,,0.045773447,,0.11254095,
130,,,,0.03144269,0.4957861,,,0.2161852,0.1070447,0.13506088,,
131,0.5248076,,,,0.47354323,,,,,,,
132,0.18059248,0.2510915,,,0.27585953,,,0.20143452,0.045546092,0.030765155,,
133,0.114803314,0.14292441,,0.056668565,0.22588035,,,,0.05482379,0.1565327,,0.23383337
134,0.077719085,0.025034383,,0.27756822,0.18741947,,0.21217094,0.07312844,0.10206703,0.041239824,,
135,0.06325957,,0.08872272,0.05292125,0.49488208,,,,0.06593804,0.2188215,,
136,0.12206635,0.12869467,,0.17013451,0.43712282,,,0.09952687,0.021687554,,,
137,0.111708,0.1581323,,0.13862754,0.4339113,,,0.04905045,0.08765304,,,
138,0.07730311,0.11865249,,,0.75057787,,,0.02774355,,,,
139,,,,0.08353597,0.31169394,,,0.038833015,0.4040301,,,0.14941527
140,,0.085108526,,0.087960355,0.37662,0.1386641,,0.051966913,0.09514958,0.10587159,,0.04997241
141,,,,,0.44799048,0.11375797,0.24004534,,0.021482429,,,0.15463565
142,,0.048572037,,,0.5762729,,0.09194098,0.070935085,0.026302615,,,0.16643445
143,,0.10325809,,,0.25984982,,0.14620948,,0.44475907,,0.0264862,
144,,0.09073064,,0.0850979,0.37316483,,,,0.24790095,,,0.18411753
145,,,,,0.54707474,,,,0.10239766,,,0.31929109
146,0.16012464,0.07788434,,0.34014976,0.09667976,,0.17147212,,0.13571356,,,
147,,0.09791816,,0.10329346,0.42236546,,,0.023730908,0.33324537,,,
148,,0.030049985,0.049300373,0.060790665,0.23927136,,0.18168442,,0.42667627,,,
149,,,,,0.24119228,,,,0.6039996,,0.02637942,0.116332754
150,0.05978756,0.05509007,,0.20978601,0.19877994,,0.21649629,,0.24566379,,,
151,,0.05207086,,,0.21097434,,,,0.56439465,,0.039002106,0.118058294
152,,,,0.05573115,0.16440594,,0.13047414,,0.4798799,,,0.15635347
153,,0.18925524,,0.0999302,0.3769396,,,,0.31550553,,,
154,0.06687425,,,,0.49911147,,0.16442235,,0.23601463,,0.014592731,
155,,,,0.18702924,0.28609455,,0.19982311,,0.092141576,,,0.21645653
156,0.06663537,0.07846685,,0.10504067,0.32906976,,0.12466765,,0.22409342,,0.05885697,
157,,,,0.09550828,0.35981336,,0.18997154,,0.06294206,,,0.2681619
158,,,0.098791026,0.08737368,0.25168607,,,,0.5362705,,,
159,,0.074639,,,0.1761251,,0.23884144,,0.4927189,,,
160,,,,0.061569437,0.35666946,,,,0.55458,,,
161,,,,0.101600535,0.34734184,,0.21992828,,0.24182583,0.066244535,,
162,0.09998662,,,0.1321038,,,0.11511056,,0.58037823,0.05507532,,
163,,,,0.09781287,0.08631215,,0.12429709,,0.6737933,,,
164,,,,0.08574776,0.31664374,,,,0.32388833,,,0.24795426
165,0.22294724,0.18840529,,0.08186977,0.32207686,,,,0.16756237,,,
166,0.049751904,0.12298238,0.11473479,0.16178186,0.48197645,,,,0.054726727,,,
167,,,,0.05882783,0.096493945,,0.06906347,,0.7602929,,,
168,0.27040923,0.0869847,,0.076786906,0.31911087,,,0.010459178,0.21531281,,,
169,,,,0.030015556,0.41952372,,,0.033241045,0.49154103,,,
170,,,,0.14374553,0.17949037,,0.42880487,0.021415208,0.20269077,,,
171,,,0.08681054,0.43717268,0.28579733,,,,,,,0.1749494
172,,0.23068027,,0.09486575,0.19987473,,0.24304412,,,0.021847863,,0.1894391
173,,,0.06056514,0.026340926,0.24810752,,,,0.65372187,,,
174,0.11854892,0.43569845,,0.1269775,0.20225357,,,,,,,0.09418114
175,,0.034766167,,,0.1888238,0.07379085,,,0.6745135,,,
176,,,,,0.28299037,,,,0.4545599,,,0.24878363
177,,,,0.1716702,0.2961865,0.16995758,0.12239298,,0.21542408,,,
