document,0,1,2,3,4,5,6,7,8,9,10,11,12,13
113,0.015680086,0.01448249,0.05232103,0.057145886,0.04968857,0.1433946,,0.20639597,0.015418088,0.01561034,0.27518004,0.11963684,0.015001517,0.012768742
114,0.08088153,0.01463195,0.041027587,0.048181582,0.012294819,0.060890112,0.11812378,0.069720544,0.03674683,0.019699683,0.31934616,0.087330006,0.04659497,0.044530515
115,0.017483983,0.011805056,0.01597922,0.036510274,0.08419651,0.018525824,0.06254923,0.083675526,,0.010355343,0.038381457,0.42453238,0.021293597,0.16475283
116,0.09768774,0.011673183,0.014760999,0.06334287,0.23720367,0.018483598,0.023073187,0.34354436,0.02183586,0.017604314,0.025559558,0.025269544,0.028950306,0.071010806
117,0.015238796,0.02873378,0.025569322,0.036529396,0.011215275,0.22603567,0.013994734,0.014561166,0.019024678,0.010814781,0.3910376,0.14107975,0.015560156,0.050604858
118,0.110016845,0.05867249,0.06752101,0.03640671,0.20347105,0.038533874,0.04070395,0.115050174,0.023929795,0.023372864,0.10718226,0.023453074,0.059362173,0.092323735
119,0.017272925,0.029510913,0.095952354,0.03868466,0.32262352,0.021288445,0.016558398,0.20601681,0.0125911115,0.021875411,0.055544384,0.023497537,0.085999504,0.05258402
120,0.011287681,0.017300775,0.01873269,0.11214423,0.2044693,0.05201805,0.0745952,0.22801512,0.015355025,0.042076405,0.033741422,0.0119989645,0.060954615,0.11731052
121,0.06458913,0.07620653,0.035209194,0.013377883,0.03373479,0.15596336,0.038685616,0.04937584,0.026305191,0.02272506,0.3238443,0.0762899,0.022308772,0.061384443
122,0.052386954,0.02422818,0.047157653,0.022622464,,0.19444613,0.04895181,0.022413163,0.030038552,0.06303229,0.34336588,0.111763015,,0.031091738
123,0.06356907,0.049003724,0.018673593,0.023033258,0.08140813,0.25634816,0.013930479,0.016889503,0.020067595,0.044368897,0.30361852,0.0910923,,
124,,,,0.05751668,0.62640625,,,0.16440403,,,,,0.057216924,0.024866097
125,0.046431165,0.031347767,0.1450416,0.0137485145,0.01030223,0.16107678,0.031681698,0.06300735,,0.045834064,0.24156363,0.113417655,0.06079015,0.026067305
126,,,,0.06902751,0.8063144,,,0.037159394,,,,,0.047743402,
127,0.019610807,0.010516774,0.012468372,0.044962548,0.03615763,0.19764912,0.08892329,0.05840235,0.011826775,0.013073112,0.35554755,0.09731864,0.024113137,0.029429877
128,0.06397725,0.027637785,,0.0197061,0.5623875,,0.01928326,0.16334115,0.015524979,0.01447414,0.010881124,0.02660568,0.026682243,0.032230873
129,,0.016062919,,0.05551061,0.51635367,,,0.23404224,0.026005847,,0.026242211,,0.06635186,
130,,0.019577032,0.015669303,0.026070505,0.6360395,0.012447122,,0.1245157,0.010130921,0.011003486,0.07590112,0.021986166,0.016128168,0.013486065
