document,0,1,2,3,4,5,6,7,8,9,10
115,,,,0.121920794,0.6631017,0.054764144,,0.118863605,0.02715856,,
116,,,,,0.5591329,0.084520526,,,,0.09478329,0.23758787
117,,0.10964773,,0.21346313,0.26916617,0.11175928,,,,,0.27951398
118,,,,0.10573618,0.73298544,0.058592867,,,,0.0773861,
119,,0.16142671,0.055725385,,0.6924713,,,,,,0.06888186
120,0.049894836,0.05562481,0.10424791,0.028815735,0.47221473,0.069245815,,,0.1452913,0.067537755,
121,0.1450315,,0.2549286,,0.58141154,,,,,,
122,0.5141385,,,,0.47250754,,,,,,
123,,,,,0.7074827,,,0.08054371,0.014020897,0.10458602,0.07574671
124,0.06841687,0.14669621,0.08679695,0.03790134,0.4815971,,,0.11275699,,0.04230573,0.015536287
125,,0.24560696,,0.21222067,0.14123252,0.04182301,,0.24679168,0.10680455,,
126,,0.03742058,0.40178776,0.04118564,0.4426783,,,,0.06516854,,
127,0.08692761,0.052482083,,0.29988003,0.33487985,,,0.096554555,0.119794115,,
128,,0.055465147,,,0.44173378,0.12085699,,0.15478148,,0.1014577,0.11145302
129,0.14530429,,0.10007372,0.044530638,0.44506228,0.1114345,,0.14015244,,,
130,,0.021190803,0.14510258,0.11581488,0.46343595,0.04054355,,,0.20196493,,
131,0.493973,,,,0.5044463,,,,,,
132,0.15284656,,0.09822606,0.03394081,0.26018062,0.1946395,,0.10330671,0.14521988,,
133,0.09724812,0.109771915,0.11368223,0.048607297,0.2067064,0.16150892,,,0.03369436,0.21755093,
134,0.044336546,0.32587576,,0.10409571,0.17689732,0.017090965,,0.15071915,0.08814542,,0.08931369
135,0.0603267,0.04894045,0.08951116,0.07873805,0.5045858,,0.12951458,,0.07575254,,
136,0.10455016,0.15457176,,0.035570033,0.4317396,0.13524619,,,0.11791398,,
137,0.08965038,,,0.09820057,0.4463095,0.17133,,,0.055098124,,0.11890929
138,0.092815615,0.044650424,,,0.67196655,0.08741043,,,0.032447107,0.052788757,
139,,0.032377653,,0.41805595,0.2763426,0.035464965,,,0.048199076,0.12852322,0.05250848
140,,0.056632265,0.14034647,0.09369495,0.34778342,0.09967653,,,0.036921203,0.0567856,0.15988164
141,,,0.030740764,,0.47319192,,,0.14229614,,0.14136636,0.19062507
142,,,,,0.603322,0.075305834,,,0.09067939,0.20428652,
143,,,,0.39615795,0.24455096,0.065531716,,0.17572017,,0.09903295,
144,,0.13157411,,0.21193323,0.30685282,0.088494,,,,0.24197079,
