document,0,1,2,3
247,,0.11135563,0.7113065,0.17465912
248,,0.6457914,0.35149074,
249,,0.18895127,0.50296617,0.30620816
250,,0.43768877,0.5575758,
251,,0.43374866,0.5605617,
252,,0.926092,0.07174584,
253,0.038345102,0.034798738,0.92618936,
254,,0.041330297,0.79051304,0.16521649
255,,0.20118828,0.68943095,0.10612132
256,0.029930687,0.113147125,0.8542474,
257,,0.46887124,0.43892887,0.090573125
258,0.094703645,0.17097126,0.5081435,0.22618161
259,,0.6447929,0.3515235,
260,,0.22052385,0.7732697,
261,,0.099155076,0.89449793,
262,,0.29491377,0.6262563,0.07630464
263,,0.100343116,0.7386727,0.15868318
264,,0.09398261,0.3336675,0.5707878
265,,0.96701854,0.031017251,
266,,0.07691456,0.9171812,
267,0.026171342,0.4927637,0.47859275,
268,0.018950753,0.37593657,0.575497,0.029615676
269,,0.6815247,0.31461412,
270,,0.18677059,0.7917629,0.018713243
271,0.09377157,0.081083156,0.82224643,
272,,0.4917977,0.5028685,
273,,0.21076661,0.78286994,
274,,0.51546913,0.48137125,
275,0.03639385,,0.9622104,
276,,0.10177664,0.5685902,0.32689556
277,,0.13382056,0.6998711,0.16357984
278,,0.24839175,0.6322923,0.116077244
279,0.07461967,0.17915632,0.5399669,0.2062571
280,0.10998378,0.036369268,0.7630667,0.09058027
281,0.02990172,0.29373515,0.67438614,
282,,0.5566207,0.43969,
283,,0.15855232,0.83456135,
284,,0.445857,0.5502988,
285,,0.9965082,,
286,,0.72714496,0.27112523,
287,,0.32641155,0.5766383,0.0950895
288,,0.8214144,0.17566246,
289,,0.6681365,0.32820195,
290,,0.6711278,0.3250724,
291,,0.1308525,0.57587945,0.29025796
292,,0.62395006,0.3161348,0.058538847
293,,0.15882055,0.8348734,
294,0.054707356,0.352851,0.58977145,
295,,0.5791249,0.41720936,
296,,0.12611018,0.86720395,
297,,0.97151315,,0.026808372
298,,0.401784,0.59217405,
299,0.071713,0.24049543,0.6174159,0.070375636
300,,0.17103904,0.8221875,
301,,0.87645537,0.12179537,
302,,0.28617296,0.5351351,0.17531648
303,,0.6175842,0.37698668,
304,0.045508936,0.36260828,0.5892478,
305,,0.8541949,0.14235824,
306,,0.7402562,0.2562819,
307,,0.28143623,0.5761781,0.13969903
308,,0.20578462,0.53013915,0.26080436
309,,0.5934921,0.4022075,
310,,0.04820277,0.94507354,
311,,0.14880925,0.84526587,
312,0.050500937,0.35678342,0.590348,
313,,0.81809783,0.17950335,
314,,0.21118718,0.71988213,0.06635735
315,0.042285774,0.47184166,0.48276535,
316,,0.3215555,0.5834033,0.093110405
317,0.029301697,0.52653325,0.44213876,
318,0.041515466,0.16431624,0.60675895,0.18740933
319,,0.14316857,0.75849044,0.095603876
320,,0.17673725,0.7788443,0.042607352
321,,0.05985874,0.9337139,
322,,0.21211629,0.75110203,0.034435753
323,,0.13555229,0.8588586,
324,,0.40065646,0.46654806,0.13086711
325,,0.9142903,0.084094614,
326,,0.5272129,0.46912485,
327,,0.16888306,0.82598525,
328,,0.17440492,0.6732909,0.1493803
329,0.059268158,0.06834038,0.8691855,
330,,0.7865358,0.21022922,
331,,,0.6892699,0.3054947
332,0.1056974,0.16258198,0.72846997,
333,,0.8396756,0.15787229,
334,,0.11917841,0.70990175,0.16841327
335,,0.3733724,0.30995405,0.3142968
336,,0.24130128,0.711291,0.045394402
337,,0.33284947,0.54633325,0.11707596
338,,0.43969187,0.39695388,0.16197222
339,,0.15754412,0.5927891,0.2454037
340,,0.2303321,0.76406455,
341,0.06238071,0.058380973,0.8762165,
342,0.048670765,0.13024971,0.75550115,0.06557839
343,,0.20430465,0.7893084,
344,,0.53095263,0.46510652,
345,,0.44818768,0.54477715,
346,0.1603359,0.23438974,0.6019328,
347,0.05200026,0.287896,0.6567452,
348,0.06987235,0.035993893,0.64508045,0.24905328
349,,0.38219908,0.6138688,
350,,0.23376496,0.6338402,0.1300373
